S_BATTINGMILESTONE,S_BATTINGMILESTONE,S_BATTINGMILESTONEDESC,S_BATTINGMILESTONEDESC,S_EMOTIONPLAYERNAME,S_EMOTIONPLAYERNAME,S_EMOTIONALASPECTS,S_EMOTIONALASPECTS
self,other,self,other,self,other,self,other
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
None,Bhavin Thakkar,None,BATTINGMILESTONE,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,PLAYER,PLAYER:HAPPY,HAPPY,None
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,PLAYER,PLAYER:HAPPY,HAPPY,None
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
None,Ravikant Shukla,None,BATTINGMILESTONE,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,PLAYER,PLAYER:HAPPY,HAPPY,None
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
None,Piyush Chawla,None,BATTINGMILESTONE,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
,,,,None,None:None,,
