S_TC_IN,S_TC_IN,S_TC_OUT,S_TC_OUT,S_DURATION,S_DURATION,S_COMMENTATORSPICK,S_COMMENTATORSPICK,S_COMMENTATORSNAME,S_COMMENTATORSNAME,S_FIELDINGCOMMENTATORSPICK,S_FIELDINGCOMMENTATORSPICK,S_EMOTIONPLAYERNAME,S_EMOTIONPLAYERNAME,S_EMOTIONALASPECTS,S_EMOTIONALASPECTS,S_CELEBRITYFOCUS,S_CELEBRITYFOCUS,S_STYLESTATEMENT,S_STYLESTATEMENT,S_EXTRAS,S_EXTRAS,S_BRANDFOCUS,S_BRANDFOCUS,S_USUSALCRICKETGEAR,S_USUSALCRICKETGEAR,S_PLAYERINTERVIEW,S_PLAYERINTERVIEW,S_MEMORABILIA,S_MEMORABILIA,S_PLAYERCELEBRATION,S_PLAYERCELEBRATION,S_DUETOINCORRECTUMPIRING,S_DUETOINCORRECTUMPIRING,S_LIGHTSFAIL,S_LIGHTSFAIL,S_BADWEATHER,S_BADWEATHER,S_CROWDUNREST,S_CROWDUNREST,S_SIGHTSCREENADJUSTMENT,S_SIGHTSCREENADJUSTMENT,S_STREAKERONFIELD,S_STREAKERONFIELD,S_BEES,S_BEES,S_DOG,S_DOG,S_BIRD_BIRDS,S_BIRD_BIRDS,S_BALLCHANGE,S_BALLCHANGE,S_DRINKSBREAK,S_DRINKSBREAK,S_ADHOCDRINKSBREAK,S_ADHOCDRINKSBREAK,S_INNINGSBREAK,S_INNINGSBREAK,S_ROLLINGTHEPITCH,S_ROLLINGTHEPITCH,S_BALLLOST,S_BALLLOST,S_CHANGEOFGEAR,S_CHANGEOFGEAR,S_REPLAYOVER,S_REPLAYOVER,S_TOTALTEAMWICKET,S_TOTALTEAMWICKET,S_TOSS,S_TOSS,S_TEAMAREPRESENTATIVE,S_TEAMAREPRESENTATIVE,S_TEAMBREPRESENTATIVE,S_TEAMBREPRESENTATIVE,S_INTERVIEW,S_INTERVIEW,S_PRACTICESESSIONS,S_PRACTICESESSIONS,S_PRESENTATION,S_PRESENTATION,S_PRIZEDISTRIBUTION,S_PRIZEDISTRIBUTION,S_VICTORYLAP,S_VICTORYLAP,S_ADDITIONALEVENTS,S_ADDITIONALEVENTS
4257000,01:10:57.000,4276000,01:11:16.000,None,19000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4279000,01:11:19.000,4298000,01:11:38.000,None,19000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4301000,01:11:41.000,4321000,01:12:01.000,None,20000,,,None,AAMIR SOHAIL,,,None,,Crowd:Happy,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4322000,01:12:02.000,4327000,01:12:07.000,None,5000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4329000,01:12:09.000,4360000,01:12:40.000,None,31000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4360000,01:12:40.000,4386000,01:13:06.000,None,26000,,,,,,,None,,Crowd:Excitement,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4389000,01:13:09.000,4405000,01:13:25.000,None,16000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4408000,01:13:28.000,4463000,01:14:23.000,None,55000,,,,,,,None,,None,,,None,,None,None,0,,,,,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4463000,01:14:23.000,4490000,01:14:50.000,None,27000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
703000,00:11:43.000,733000,00:12:13.000,None,30000,,,,,,,None,,None,,,None,,None,None,0,,,,,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4493000,01:14:53.000,4520000,01:15:20.000,None,27000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4523000,01:15:23.000,4533000,01:15:33.000,None,10000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4536000,01:15:36.000,4541000,01:15:41.000,None,5000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4545000,01:15:45.000,4553000,01:15:53.000,None,8000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4556000,01:15:56.000,4565000,01:16:05.000,None,9000,,,,,,,None,,None,,,None,,None,None,0,,,,,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4568000,01:16:08.000,4581000,01:16:21.000,None,13000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4584000,01:16:24.000,4606000,01:16:46.000,None,22000,,,,,,,None,,None,,,None,,None,None,0,,,,,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4609000,01:16:49.000,4635000,01:17:15.000,None,26000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4638000,01:17:18.000,4653000,01:17:33.000,None,15000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4656000,01:17:36.000,4665000,01:17:45.000,None,9000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
733000,00:12:13.000,747000,00:12:27.000,None,14000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4668000,01:17:48.000,4693000,01:18:13.000,None,25000,,,,,,,None,,Crowd:Excitement,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4696000,01:18:16.000,4719000,01:18:39.000,None,23000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4722000,01:18:42.000,4755000,01:19:15.000,None,33000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4759000,01:19:19.000,4779000,01:19:39.000,None,20000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4782000,01:19:42.000,4813000,01:20:13.000,None,31000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4816000,01:20:16.000,4832000,01:20:32.000,None,16000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4832000,01:20:32.000,4852000,01:20:52.000,None,20000,,,,,,,None,,Crowd:Excitement,,,None,,None,None,0,,,,,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4856000,01:20:56.000,4883000,01:21:23.000,None,27000,,,,,,,None,,Crowd:Excitement,,,None,,None,None,0,,,,,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4886000,01:21:26.000,4950000,01:22:30.000,None,64000,,,,,,,None,,None,,,None,,None,None,0,,,,,,None,,None,,,"ADHOCDRINKSBREAK,None",No,"ADHOCDRINKSBREAK,None",No,"ADHOCDRINKSBREAK,None",No,"ADHOCDRINKSBREAK,None",No,"ADHOCDRINKSBREAK,None",No,"ADHOCDRINKSBREAK,None",No,"ADHOCDRINKSBREAK,None",No,"ADHOCDRINKSBREAK,None",No,"ADHOCDRINKSBREAK,None",No,"ADHOCDRINKSBREAK,None",No,"ADHOCDRINKSBREAK,None",Yes,"ADHOCDRINKSBREAK,None",Yes,"ADHOCDRINKSBREAK,None",No,"ADHOCDRINKSBREAK,None",No,"ADHOCDRINKSBREAK,None",No,"ADHOCDRINKSBREAK,None",No,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4950000,01:22:30.000,4991000,01:23:11.000,None,41000,,,,,,,None,,Crowd:Excitement,,,None,,None,None,0,,,,,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
748000,00:12:28.000,771000,00:12:51.000,None,23000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
4995000,01:23:15.000,5006000,01:23:26.000,None,11000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5006000,01:23:26.000,5033000,01:23:53.000,None,27000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5035000,01:23:55.000,5055000,01:24:15.000,None,20000,,,,,,,None,,None,,,None,,None,None,0,,,,,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5059000,01:24:19.000,5066000,01:24:26.000,None,7000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5069000,01:24:29.000,5078000,01:24:38.000,None,9000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5081000,01:24:41.000,5098000,01:24:58.000,None,17000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5098000,01:24:58.000,5132000,01:25:32.000,None,34000,,,,,,,None,,None,,,None,,None,None,0,,,,,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5136000,01:25:36.000,5172000,01:26:12.000,None,36000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5175000,01:26:15.000,5191000,01:26:31.000,None,16000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5191000,01:26:31.000,5207000,01:26:47.000,None,16000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
7000,00:00:07.000,187000,00:03:07.000,None,180000,,,,,,,None,,None,,,None,,None,None,0,,,,,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
771000,00:12:51.000,786000,00:13:06.000,None,15000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5211000,01:26:51.000,5229000,01:27:09.000,None,18000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5232000,01:27:12.000,5251000,01:27:31.000,None,19000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5255000,01:27:35.000,5274000,01:27:54.000,None,19000,None,Negative,None,BRUCE YARDLEY,None,Negative,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5278000,01:27:58.000,5298000,01:28:18.000,None,20000,None,Negative,None,BRUCE YARDLEY,None,Negative,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5298000,01:28:18.000,5312000,01:28:32.000,None,14000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5316000,01:28:36.000,5322000,01:28:42.000,None,6000,None,Negative,None,BRUCE YARDLEY,None,Negative,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5326000,01:28:46.000,5343000,01:29:03.000,None,17000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5343000,01:29:03.000,5355000,01:29:15.000,None,12000,None,Negative,None,BRUCE YARDLEY,None,Negative,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5355000,01:29:15.000,5375000,01:29:35.000,None,20000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5378000,01:29:38.000,5402000,01:30:02.000,None,24000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
786000,00:13:06.000,793000,00:13:13.000,None,7000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5406000,01:30:06.000,5429000,01:30:29.000,None,23000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5433000,01:30:33.000,5446000,01:30:46.000,None,13000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5449000,01:30:49.000,5476000,01:31:16.000,None,27000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5480000,01:31:20.000,5491000,01:31:31.000,None,11000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5495000,01:31:35.000,5515000,01:31:55.000,None,20000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5518000,01:31:58.000,5529000,01:32:09.000,None,11000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5533000,01:32:13.000,5546000,01:32:26.000,None,13000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5550000,01:32:30.000,5571000,01:32:51.000,None,21000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5575000,01:32:55.000,5601000,01:33:21.000,None,26000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5605000,01:33:25.000,5614000,01:33:34.000,None,9000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
794000,00:13:14.000,821000,00:13:41.000,None,27000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5618000,01:33:38.000,5622000,01:33:42.000,None,4000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5626000,01:33:46.000,5642000,01:34:02.000,None,16000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
5646000,01:34:06.000,5649000,01:34:09.000,None,3000,,,,,,,None,,None,,,None,,None,None,0,,,,,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
821000,00:13:41.000,854000,00:14:14.000,None,33000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
855000,00:14:15.000,876000,00:14:36.000,None,21000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
876000,00:14:36.000,881000,00:14:41.000,None,5000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
881000,00:14:41.000,914000,00:15:14.000,None,33000,,,,,,,None,,None,,,None,,None,None,0,,,,,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
915000,00:15:15.000,925000,00:15:25.000,None,10000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
925000,00:15:25.000,945000,00:15:45.000,None,20000,,,,,,,None,,None,,,None,,None,None,0,,,,,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
